Method,Round,Expected Reward,Regret,Real Reward,Cumulated Expected Reward,Cumulated Regret,Cumulated Real Reward
Expected Reward Fisher,7,1.6020835556968194,0.7686664903937235,1.6065341990667106,10.568878217435744,8.56408683290752,10.590840451933069
Expected Reward Fisher,8,1.6121104890890123,0.7487052230757709,1.5345327504079547,12.18098870652478,9.312792055983294,12.125373202341034
Expected Reward Fisher,9,1.6361807219739029,0.7151342544838318,1.6267652834716304,13.817169428498675,10.027926310467132,13.75213848581266
Expected Reward Fisher,10,1.654527873936955,0.6869634885787972,1.6687150835112121,15.47169730243564,10.714889799045949,15.420853569323883
Expected Reward Fisher,11,1.6385706356445593,0.6944934000049955,1.6169661946307967,17.11026793808022,11.409383199050943,17.037819763954666
Expected Reward Fisher,12,1.6794480645849519,0.644450551998911,1.6710322940163722,18.789716002665163,12.053833751049819,18.708852057971008
Expected Reward Fisher,13,1.6595359872522375,0.654297870600527,1.6355625016067272,20.449251989917354,12.70813162165037,20.344414559577732
Expected Reward Fisher,14,1.6685096436202886,0.6355654383414613,1.6456405188270378,22.117761633537654,13.343697059991817,21.99005507840475
Expected Reward Fisher,15,1.6626842343555475,0.6321240834759945,1.684905864450236,23.780445867893256,13.975821143467826,23.674960942855016
Expected Reward Fisher,16,1.6524132870189951,0.6350593864725265,1.6400134490501328,25.432859154912162,14.610880529940344,25.314974391905167
Expected Reward Fisher,17,1.6541294705821332,0.6253322038256295,1.653779053765477,27.086988625494318,15.23621273376596,26.968753445670654
Expected Reward Fisher,18,1.6538645802906258,0.617571533360095,1.6372246101160741,28.740853205784973,15.853784267126091,28.605978055786732
Expected Reward Fisher,19,1.65217551849428,0.6103738380882913,1.6751901819323263,30.393028724279226,16.464158105214338,30.28116823771907
Expected Reward Fisher,20,1.6442452646382821,0.6074358373629812,1.6515450987146314,32.037273988917526,17.071593942577326,31.932713336433654
Expected Reward Fisher,21,1.6417413815120065,0.6030337432223685,1.634789878350136,33.67901537042958,17.67462768579967,33.567503214783805
Expected Reward Fisher,22,1.6341183902456502,0.6011619555818873,1.6175622877346527,35.313133760675186,18.27578964138161,35.185065502518455
Expected Reward Fisher,23,1.620534285359176,0.6059093753889996,1.6302169514741292,36.93366804603444,18.881699016770597,36.81528245399252
Expected Reward Fisher,24,1.6225330845762833,0.595374868345589,1.5940920119680704,38.556201130610624,19.47707388511618,38.40937446596065
Expected Reward Fisher,25,1.6217793345809324,0.5861065660822165,1.6052833616626312,40.17798046519168,20.063180451198395,40.014657827623324
Expected Reward Fisher,26,1.5954336669942992,0.6026056357434947,1.633844384049722,41.77341413218584,20.665786086941903,41.64850221167301
Expected Reward Fisher,27,1.6071575944650092,0.5814015244571871,1.58336061575636,43.380571726650935,21.2471876113991,43.23186282742944
Expected Reward Fisher,28,1.5965835900445746,0.5829839386060469,1.5974641908166067,44.9771553166954,21.830171550005183,44.829327018246076
Expected Reward Fisher,29,1.5940386320580568,0.5748989111443067,1.5738665211111271,46.571193948753574,22.405070461149403,46.40319353935717
Expected Reward Thompson,0,1.4373426678186054,0.9675198042841541,1.4138878939457782,1.4373426678186054,0.9675198042841541,1.4138878939457782
Expected Reward Thompson,1,1.4561262576624798,0.9432158823689719,1.4594952016118121,2.893468925481081,1.9107356866531244,2.873383095557589
Expected Reward Thompson,2,1.4691611283503903,0.9247447970034857,1.4694419358847068,4.362630053831473,2.835480483656604,4.342825031442292
Expected Reward Thompson,3,1.4953740061980945,0.8919951739992182,1.490167146584395,5.858004060029554,3.7274756576558348,5.8329921780266965
Expected Reward Thompson,4,1.5236248133249732,0.8535042155639989,1.541722408672084,7.381628873354519,4.580979873219829,7.374714586698791
Expected Reward Thompson,5,1.5247193857127581,0.8441548989227019,1.552305021846523,8.906348259067272,5.425134772142532,8.9270196085453
Expected Reward Thompson,6,1.55671078138895,0.8056349544330565,1.590370916774275,10.463059040456239,6.230769726575593,10.51739052531959
Expected Reward Thompson,7,1.5775860760141827,0.7769495982854631,1.5710839521116442,12.040645116470413,7.007719324861068,12.08847447743125
Expected Reward Thompson,8,1.5823321880633596,0.7647952191921376,1.600948595031054,13.622977304533759,7.772514544053192,13.689423072462287
Expected Reward Thompson,9,1.6051859172299519,0.7313636040863587,1.5209519440038082,15.228163221763754,8.503878148139545,15.210375016466104
Expected Reward Thompson,10,1.60266750745266,0.7254272965269389,1.6064639231849351,16.830830729216373,9.229305444666496,16.816838939651003
Expected Reward Thompson,11,1.6110007800754946,0.7085951122440292,1.6048476428081293,18.441831509291895,9.937900556910504,18.421686582459127
Expected Reward Thompson,12,1.6313745159554183,0.6786601222690896,1.6561348185570242,20.073206025247266,10.616560679179594,20.077821401016166
Expected Reward Thompson,13,1.6388989920080685,0.6638823502255202,1.6513594113260015,21.7121050172554,11.280443029405125,21.7291808123422
Expected Reward Thompson,14,1.6512975632762648,0.6433543252520535,1.6391500129719767,23.363402580531602,11.923797354657188,23.36833082531414
Expected Reward Thompson,15,1.6382753391765794,0.6475813787162413,1.6784180220252254,25.00167791970821,12.571378733373416,25.046748847339405
Expected Reward Thompson,16,1.6558996705331746,0.6210915957416665,1.6211812056372135,26.657577590241402,13.192470329115073,26.667930052976605
Expected Reward Thompson,17,1.658637317433628,0.6089269679097349,1.6920299153043694,28.31621490767498,13.801397297024826,28.359959968280986
Expected Reward Thompson,18,1.6606614175704595,0.5965744775693518,1.6489343467398139,29.9768763252455,14.397971774594202,30.008894315020815
Expected Reward Thompson,19,1.6563879402780188,0.5920704689221319,1.664000487337396,31.63326426552345,14.990042243516292,31.67289480235822
Expected Reward Thompson,20,1.6497729326177892,0.5898372853144711,1.6601329492980725,33.28303719814128,15.57987952883074,33.33302775165631
Expected Reward Thompson,21,1.6362496581355468,0.5926089677091947,1.6666017314052475,34.919286856276834,16.172488496539977,34.9996294830615
Expected Reward Thompson,22,1.6323157982934344,0.5868110467126961,1.6056945937711724,36.55160265457024,16.759299543252688,36.605324076832716
Expected Reward Thompson,23,1.6237893038642017,0.5869634236971344,1.6492112194109383,38.17539195843451,17.346262966949812,38.25453529624363
Expected Reward Thompson,24,1.6211923715518914,0.5819083186331298,1.6094301004493914,39.7965843299863,17.92817128558294,39.863965396693
Expected Reward Thompson,25,1.6050402762614369,0.5888154833484629,1.6169956738152718,41.40162460624791,18.51698676893143,41.480961070508314
Expected Reward Thompson,26,1.6066685984170463,0.578771464484607,1.6065035816185682,43.00829320466482,19.095758233416024,43.08746465212688
Expected Reward Thompson,27,1.6002855263890188,0.5756515503082631,1.589473536962549,44.6085787310538,19.67140978372429,44.67693818908935
Expected Reward Thompson,28,1.593274637785962,0.5734344108018546,1.607280193997233,46.201853368839906,20.24484419452614,46.28421838308658
Expected Reward Thompson,29,1.579923672279006,0.5783885427942489,1.5861122973466728,47.781777041118865,20.823232737320406,47.870330680433234
expected Reward Proxi,0,0.6607060950841797,1.7441563770185762,0.6455406132556021,0.6607060950841797,1.7441563770185762,0.6455406132556021
expected Reward Proxi,1,0.8518473140651142,1.5530151580376446,0.826209977399499,1.5125534091492965,3.2971715350562176,1.4717505906551038
expected Reward Proxi,2,1.027275043192143,1.377141648780264,1.0874341778678058,2.5398284523414345,4.674313183836484,2.559184768522898
expected Reward Proxi,3,1.0632285221990558,1.3384687515290554,1.0607020879871683,3.603056974540503,6.0127819353655445,3.6198868565100493
expected Reward Proxi,4,1.0663702178555725,1.3310526775882543,1.131564231872959,4.669427192396063,7.343834612953796,4.75145108838302
expected Reward Proxi,5,1.1963905914218573,1.1998031716318391,1.1702811467244911,5.865817783817925,8.543637784585645,5.921732235107512
expected Reward Proxi,6,1.2918859379534153,1.1020912865234187,1.357380952057526,7.157703721771334,9.64572907110904,7.279113187165043
expected Reward Proxi,7,1.3110886421080037,1.078169173146474,1.3410119579803752,8.46879236387933,10.723898244255482,8.62012514514542
expected Reward Proxi,8,1.323018404691292,1.0600668311823087,1.2542799937236533,9.79181076857063,11.783965075437829,9.874405138869102
expected Reward Proxi,9,1.3698040915346918,1.0077049245812297,1.327400551555086,11.161614860105347,12.791670000019058,11.201805690424191
expected Reward Proxi,10,1.4012309105908844,0.9675060362102804,1.349014091276684,12.562845770696237,13.759176036229352,12.550819781700884
expected Reward Proxi,11,1.4194613393030395,0.9416116227325299,1.4150226275450428,13.98230710999927,14.700787658961884,13.965842409245928
expected Reward Proxi,12,1.4176199163110117,0.9364979188622351,1.3887983001509014,15.39992702631026,15.637285577824104,15.354640709396822
expected Reward Proxi,13,1.4236972950643796,0.923720523553426,1.4020827312159017,16.823624321374613,16.56100610137753,16.756723440612685
expected Reward Proxi,14,1.4323867235187808,0.9081514041577201,1.4886939973405706,18.256011044893413,17.469157505535232,18.245417437953275
expected Reward Proxi,15,1.4372948045512475,0.8965625592640112,1.465704893719755,19.69330584944463,18.365720064799252,19.71112233167302
expected Reward Proxi,16,1.4360259094390713,0.8902356031963412,1.4245346144497413,21.12933175888375,19.25595566799565,21.13565694612277
expected Reward Proxi,17,1.4427467515046453,0.8775561018470664,1.3933908727496789,22.572078510388426,20.133511769842695,22.52904781887245
expected Reward Proxi,18,1.4483629273413154,0.8637184935777956,1.4475985847807824,24.02044143772967,20.997230263420455,23.97664640365317
expected Reward Proxi,19,1.4584003900563667,0.8458819938418326,1.5132382550779158,25.47884182778601,21.843112257262295,25.48988465873111
expected Reward Proxi,20,1.4644723976658982,0.8322005543900028,1.4581373327645963,26.943314225451928,22.67531281165231,26.948021991495693
expected Reward Proxi,21,1.4671582919966333,0.8211347586440797,1.4760139934754057,28.410472517448504,23.49644757029632,28.424035984971106
expected Reward Proxi,22,1.4711162349750524,0.809403319776251,1.534461150498432,29.881588752423724,24.305850890072666,29.95849713546952
expected Reward Proxi,23,1.4683250302337976,0.804346953651884,1.519885682813523,31.3499137826574,25.110197843724464,31.478382818283055
expected Reward Proxi,24,1.4937948108870236,0.7721977010300867,1.4761672935411894,32.84370859354441,25.882395544754615,32.954550111824275
expected Reward Proxi,25,1.5052362232010332,0.7536650358763368,1.4930300114005437,34.348944816745444,26.636060580630957,34.44758012322484
expected Reward Proxi,26,1.5024830352681386,0.7481979541316157,1.4918533783483365,35.85142785201366,27.384258534762598,35.9394335015731
expected Reward Proxi,27,1.4844528940517179,0.7583373995195382,1.46446082134161,37.33588074606539,28.14259593428208,37.40389432291465
